Time (s),Channel 1 (V),Channel 2 (V),Math 1 (A)
-0.5596875,0.4617081104994785,4.820372802416131,-0.002527908621600377
-0.559375,0.4617081104994785,4.823201457390368,-0.002527908621600377
-0.5590625,0.4617081104994785,4.82697299735602,-0.002527908621600377
-0.55875,0.4607630060382886,4.831687422313082,-0.002518457576988479
-0.5584375,0.4617081104994785,4.83451607728732,-0.002518457576988479
-0.558125,0.4626532149606683,4.838287617252971,-0.002518457576988479
-0.5578125,0.4626532149606683,4.842059157218621,-0.002518457576988479
-0.5575,0.4635983194218581,4.843944927201446,-0.002518457576988479
-0.5571874999999999,0.4635983194218581,4.846773582175684,-0.00250900653237658
-0.556875,0.4635983194218581,4.850545122141335,-0.00250900653237658
-0.5565625,0.464543423883048,4.853373777115572,-0.00250900653237658
-0.55625,0.4635983194218581,4.854316662106985,-0.00250900653237658
-0.5559375,0.464543423883048,4.858088202072635,-0.002499555487764682
-0.555625,0.464543423883048,4.860916857046873,-0.002490104443152784
-0.5553125,0.4654885283442378,4.864688397012523,-0.002490104443152784
-0.555,0.4664336328054277,4.867517051986762,-0.002480653398540885
-0.5546875,0.4673787372666175,4.870345706960999,-0.002480653398540885
-0.554375,0.4664336328054277,4.87411724692665,-0.002480653398540885
-0.5540625,0.4673787372666175,4.876945901900887,-0.002471202353928987
-0.55375,0.4673787372666175,4.879774556875126,-0.002471202353928987
-0.5534375,0.4673787372666175,4.883546096840776,-0.002461751309317089
-0.553125,0.4673787372666175,4.888260521797839,-0.002461751309317089
-0.5528125,0.4692689461889972,4.890146291780664,-0.002461751309317089
-0.5525,0.4692689461889972,4.893917831746315,-0.002461751309317089
-0.5521875000000001,0.470214050650187,4.896746486720553,-0.002461751309317089
-0.551875,0.4692689461889972,4.898632256703378,-0.002461751309317089
-0.5515625,0.470214050650187,4.901460911677615,-0.002461751309317089
-0.55125,0.470214050650187,4.904289566651854,-0.002461751309317089
-0.5509375,0.470214050650187,4.908061106617504,-0.002461751309317089
-0.550625,0.4711591551113768,4.909946876600329,-0.002461751309317089
-0.5503125,0.4711591551113768,4.913718416565979,-0.00245230026470519
-0.55,0.4721042595725666,4.916547071540218,-0.002442849220093292
-0.5496875,0.4721042595725666,4.920318611505868,-0.002442849220093292
-0.5493749999999999,0.4730493640337565,4.923147266480106,-0.002433398175481394
-0.5490625,0.4749395729561361,4.925033036462931,-0.002433398175481394
-0.54875,0.4739944684949463,4.927861691437169,-0.002433398175481394
-0.5484375,0.4739944684949463,4.931633231402819,-0.002414496086257597
-0.548125,0.4739944684949463,4.934461886377057,-0.002414496086257597
-0.5478125,0.4749395729561361,4.938233426342707,-0.002414496086257597
-0.5475,0.4749395729561361,4.941062081316946,-0.002405045041645698
-0.5471875,0.4749395729561361,4.944833621282596,-0.002405045041645698
-0.546875,0.4749395729561361,4.947662276256834,-0.002405045041645698
-0.5465625,0.4739944684949463,4.950490931231071,-0.0023955939970338
-0.54625,0.4739944684949463,4.95331958620531,-0.0023955939970338
-0.5459375,0.4739944684949463,4.95709112617096,-0.0023955939970338
-0.545625,0.4749395729561361,4.959919781145198,-0.0023955939970338
-0.5453125,0.4749395729561361,4.964634206102261,-0.0023955939970338
-0.545,0.4749395729561361,4.968405746067911,-0.002386142952421902
-0.5446875,0.4768297818785158,4.971234401042149,-0.002376691907810004
-0.5443750000000001,0.4777748863397057,4.974063056016387,-0.002376691907810004
-0.5440625,0.4787199908008955,4.977834595982038,-0.002376691907810004
-0.54375,0.4787199908008955,4.980663250956275,-0.002367240863198105
-0.5434375,0.4796650952620853,4.982549020939101,-0.002357789818586207
-0.543125,0.4796650952620853,4.985377675913338,-0.002357789818586207
-0.5428125,0.4806101997232752,4.988206330887576,-0.002357789818586207
-0.5425,0.4806101997232752,4.990092100870402,-0.002348338773974308
-0.5421875,0.481555304184465,4.992920755844639,-0.002357789818586207
-0.541875,0.4806101997232752,4.99669229581029,-0.002357789818586207
-0.5415624999999999,0.4825004086456549,5.00046383577594,-0.002348338773974308
